"","Reference","year","month","Season","BAY_SEGMENT","TGTaxaScore","PelagicTaxaScore","LRScore","PropBenthicScore","NumGuildsScore","PropSelectScore","BenthicTaxaScore","NumTaxaScore","SelecTaxaScore","Cumul_Score"
"104","TBM2006110205","2006","11","Fall",1,10,10,0,4,10,2,5,5,6,58
"105","TBM2007100601","2007","10","Fall",1,10,10,1,8,5,3,6,6,7,62
"106","TBM2007100602","2007","10","Fall",1,10,10,1,4,5,5,5,6,9,61
"107","TBM2007100901","2007","10","Fall",1,10,10,1,9,5,1,3,2,1,47
"108","TBM2007100903","2007","10","Fall",1,10,10,0,10,0,10,1,0,3,49
"109","TBM2007100905","2007","10","Fall",1,10,10,0,9,0,1,5,4,6,50
"110","TBM2007100906","2007","10","Fall",1,10,10,0,2,10,1,3,5,3,49
"111","TBM2007110703","2007","11","Fall",1,10,10,0,0,0,3,0,1,3,30
"112","TBM2007110705","2007","11","Fall",1,10,10,0,8,5,4,5,4,4,56
"113","TBM2007110707","2007","11","Fall",1,10,10,0,10,0,0,1,0,0,34
"114","TBM2007111201","2007","11","Fall",1,10,10,0,9,5,1,4,4,3,51
"115","TBM2007111203","2007","11","Fall",1,10,10,0,3,10,7,10,10,10,78
"116","TBM2007111204","2007","11","Fall",1,10,10,1,9,10,2,6,6,6,67
"117","TBM2007111205","2007","11","Fall",1,10,10,10,8,10,2,10,10,10,89
"118","TBM2008100302","2008","10","Fall",1,10,10,0,9,5,1,9,7,6,63
"119","TBM2008100303","2008","10","Fall",1,10,10,0,6,10,2,9,9,10,73
"120","TBM2008100701","2008","10","Fall",1,10,10,0,5,5,1,7,7,6,57
"121","TBM2008100704","2008","10","Fall",1,10,10,2,6,10,1,5,6,7,63
"122","TBM2008100706","2008","10","Fall",1,10,10,10,10,10,1,10,10,10,90
"123","TBM2008100801","2008","10","Fall",1,10,10,0,6,5,0,3,5,4,48
"124","TBM2008100804","2008","10","Fall",1,10,10,0,9,10,0,4,5,1,54
"125","TBM2008111201","2008","11","Fall",1,10,10,0,0,0,0,0,1,0,23
"126","TBM2008111202","2008","11","Fall",1,10,10,0,0,0,0,0,0,0,22
"127","TBM2008111205","2008","11","Fall",1,10,10,2,9,5,1,5,4,4,56
"128","TBM2008111301","2008","11","Fall",1,10,10,2,9,5,1,6,5,6,60
"129","TBM2008111302","2008","11","Fall",1,10,10,0,9,5,9,8,6,7,71
"130","TBM2008111304","2008","11","Fall",1,10,10,0,4,10,2,7,7,7,63
"131","TBM2009100102","2009","10","Fall",1,10,10,10,10,10,0,4,4,3,68
"132","TBM2009100103","2009","10","Fall",1,10,10,0,9,5,2,8,6,7,63
"133","TBM2009100105","2009","10","Fall",1,10,10,0,9,5,1,3,2,1,46
"134","TBM2009100106","2009","10","Fall",1,10,10,0,9,0,0,5,4,1,43
"135","TBM2009100301","2009","10","Fall",1,10,10,0,9,10,2,7,6,7,68
"136","TBM2009100302","2009","10","Fall",1,10,10,4,10,5,1,6,6,9,68
"137","TBM2009110803","2009","11","Fall",1,10,10,1,10,10,7,7,6,7,76
"138","TBM2009110804","2009","11","Fall",1,10,10,2,9,5,1,5,4,4,56
"139","TBM2009110807","2009","11","Fall",1,10,10,2,9,5,1,4,4,4,54
"140","TBM2009111001","2009","11","Fall",1,10,10,0,10,5,1,9,7,10,69
"141","TBM2009111002","2009","11","Fall",1,10,10,0,4,5,3,3,2,3,44
"142","TBM2009111003","2009","11","Fall",1,10,10,0,10,0,0,0,0,0,33
"143","TBM2009111004","2009","11","Fall",1,10,10,0,10,0,0,1,0,0,34
"144","TBM2010100901","2010","10","Fall",1,10,10,10,8,10,5,10,10,10,92
"145","TBM2010100902","2010","10","Fall",1,10,10,10,9,10,1,6,6,6,76
"146","TBM2010100903","2010","10","Fall",1,10,10,10,10,10,1,7,6,7,79
"147","TBM2010100906","2010","10","Fall",1,10,10,0,9,5,4,7,5,6,62
"148","TBM2010101101","2010","10","Fall",1,10,10,2,8,10,2,4,5,6,63
"149","TBM2010101102","2010","10","Fall",1,10,10,3,6,10,3,7,6,9,71
"150","TBM2010101103","2010","10","Fall",1,10,10,3,9,5,2,8,6,9,69
"151","TBM2010110201","2010","11","Fall",1,10,10,4,9,5,1,2,2,4,52
"152","TBM2010110203","2010","11","Fall",1,10,10,10,10,5,1,9,8,7,78
"153","TBM2010110701","2010","11","Fall",1,10,10,3,10,5,0,6,4,3,57
"154","TBM2010110703","2010","11","Fall",1,10,10,5,6,10,4,7,6,6,71
"155","TBM2010110705","2010","11","Fall",1,10,10,10,9,10,4,10,9,10,91
"156","TBM2010110706","2010","11","Fall",1,10,10,1,4,10,6,9,9,10,77
"157","TBM2011100805","2011","10","Fall",1,10,10,3,9,5,0,7,6,6,62
"158","TBM2011100808","2011","10","Fall",1,10,10,10,10,10,1,10,10,10,90
"159","TBM2011101001","2011","10","Fall",1,10,10,3,9,10,3,7,8,9,77
"160","TBM2011101002","2011","10","Fall",1,10,10,0,4,5,10,3,4,10,62
"161","TBM2011101004","2011","10","Fall",1,10,10,0,3,10,5,3,4,7,58
"162","TBM2011101005","2011","10","Fall",1,10,10,1,7,10,1,5,4,3,57
"163","TBM2011110301","2011","11","Fall",1,10,10,0,8,10,1,7,6,10,69
"164","TBM2011110302","2011","11","Fall",1,10,10,3,8,10,1,3,4,4,59
"165","TBM2011110303","2011","11","Fall",1,10,10,1,8,10,3,7,6,7,69
"166","TBM2011110304","2011","11","Fall",1,10,10,4,9,5,4,10,10,10,80
"167","TBM2011110305","2011","11","Fall",1,10,10,10,10,5,2,10,10,10,86
"168","TBM2011110702","2011","11","Fall",1,10,10,4,9,5,1,7,6,9,68
"169","TBM2012100402","2012","10","Fall",1,10,10,1,8,5,0,3,2,0,43
"170","TBM2012100403","2012","10","Fall",1,10,10,1,8,10,2,8,7,9,72
"171","TBM2012100404","2012","10","Fall",1,10,10,1,6,10,1,4,4,4,56
"172","TBM2012101402","2012","10","Fall",1,10,10,9,8,10,0,5,6,4,69
"173","TBM2012101404","2012","10","Fall",1,10,10,0,9,10,2,10,10,7,76
"174","TBM2012101405","2012","10","Fall",1,10,10,0,10,0,0,3,2,3,42
"175","TBM2012101406","2012","10","Fall",1,10,10,0,10,0,2,3,2,3,44
"176","TBM2012110602","2012","11","Fall",1,10,10,0,2,5,0,3,2,4,40
"177","TBM2012110605","2012","11","Fall",1,10,10,0,8,5,2,5,5,4,54
"178","TBM2012110607","2012","11","Fall",1,10,10,0,8,5,1,4,5,4,52
"179","TBM2012111106","2012","11","Fall",1,10,10,1,3,5,1,3,3,3,43
"180","TBM2012111107","2012","11","Fall",1,10,10,3,9,10,1,10,9,9,79
"181","TBM2013101105","2013","10","Fall",1,10,10,2,9,10,1,5,6,7,67
"182","TBM2013101201","2013","10","Fall",1,10,10,5,10,5,1,8,6,3,64
"183","TBM2013101202","2013","10","Fall",1,10,10,0,10,5,0,6,4,4,54
"184","TBM2013101203","2013","10","Fall",1,10,10,0,9,5,0,3,3,4,49
"185","TBM2013101206","2013","10","Fall",1,10,10,0,9,5,1,7,5,6,59
"186","TBM2013110701","2013","11","Fall",1,10,10,3,10,5,1,10,8,4,68
"187","TBM2013110702","2013","11","Fall",1,10,10,1,9,10,1,5,6,4,62
"188","TBM2013110703","2013","11","Fall",1,10,10,7,10,5,0,9,6,6,70
"189","TBM2013110705","2013","11","Fall",1,10,10,0,5,10,6,10,10,10,79
"190","TBM2013110706","2013","11","Fall",1,10,10,0,10,0,0,3,1,0,38
"191","TBM2014100401","2014","10","Fall",1,10,10,1,9,10,0,3,4,0,52
"192","TBM2014100404","2014","10","Fall",1,10,10,0,7,10,1,3,6,4,57
"193","TBM2014100405","2014","10","Fall",1,10,10,0,7,5,5,8,7,7,66
"194","TBM2014100406","2014","10","Fall",1,10,10,0,1,5,10,4,4,3,52
"195","TBM2014100705","2014","10","Fall",1,10,10,3,9,10,0,6,7,7,69
"196","TBM2014100706","2014","10","Fall",1,10,10,8,10,5,1,7,5,4,67
"197","TBM2014100707","2014","10","Fall",1,10,10,3,10,10,0,8,6,7,71
"198","TBM2014110703","2014","11","Fall",1,10,10,0,5,5,0,1,1,0,36
"199","TBM2014110710","2014","11","Fall",1,10,10,0,9,5,10,3,2,4,59
"200","TBM2014111301","2014","11","Fall",1,10,10,0,5,5,1,4,4,4,48
"201","TBM2014111302","2014","11","Fall",1,10,10,0,8,0,2,4,4,1,43
"202","TBM2014111305","2014","11","Fall",1,10,10,0,2,5,3,5,6,10,57
"203","TBM2014111306","2014","11","Fall",1,10,10,0,8,5,3,5,4,4,54
"204","TBM2015100601","2015","10","Fall",1,10,10,10,10,5,1,8,8,7,77
"205","TBM2015100602","2015","10","Fall",1,10,10,0,10,5,7,3,2,3,56
"206","TBM2015100603","2015","10","Fall",1,10,10,6,9,5,1,9,8,7,72
"207","TBM2015100902","2015","10","Fall",1,10,10,0,9,5,2,10,8,7,68
"208","TBM2015100904","2015","10","Fall",1,10,10,1,9,5,0,4,4,1,49
"209","TBM2015100905","2015","10","Fall",1,10,10,1,10,5,3,6,4,9,64
"210","TBM2015100906","2015","10","Fall",1,10,10,0,9,5,4,4,3,4,54
"211","TBM2015110504","2015","11","Fall",1,10,10,0,8,5,5,2,2,3,50
"212","TBM2015110505","2015","11","Fall",1,10,10,0,9,5,1,5,5,4,54
"213","TBM2015110506","2015","11","Fall",1,10,10,2,10,5,5,7,5,7,68
"214","TBM2015111101","2015","11","Fall",1,10,10,0,10,5,7,6,4,6,64
"215","TBM2015111103","2015","11","Fall",1,10,10,2,6,10,1,8,6,7,67
"216","TBM2015111104","2015","11","Fall",1,10,10,0,9,5,0,3,3,1,46
"217","TBM2015111106","2015","11","Fall",1,10,10,0,9,5,1,5,5,7,58
"218","TBM1998041505","1998","04","Spring",1,10,10,0,10,0,10,0,0,0,44
"219","TBM1998041509","1998","04","Spring",1,10,10,0,0,10,8,2,4,8,58
"220","TBM1998041516","1998","04","Spring",1,10,10,0,1,5,10,2,3,5,51
"221","TBM1998041604","1998","04","Spring",1,10,10,0,10,0,9,2,1,2,49
"222","TBM1998041607","1998","04","Spring",1,10,10,0,9,5,8,2,1,0,50
"223","TBM1998051201","1998","05","Spring",1,10,10,0,10,5,10,4,4,5,64
"224","TBM1998051203","1998","05","Spring",1,10,10,0,1,10,2,2,3,2,44
"225","TBM1998051204","1998","05","Spring",1,10,10,0,3,0,4,2,3,3,39
"226","TBM1998051207","1998","05","Spring",1,10,10,0,3,0,4,0,0,0,30
"227","TBM1998051303","1998","05","Spring",1,10,10,0,10,0,1,4,3,3,46
"228","TBM1998051304","1998","05","Spring",1,10,10,0,0,5,1,2,3,3,38
"229","TBM1998051307","1998","05","Spring",1,10,10,0,4,5,2,2,2,2,41
"230","TBM1999040202","1999","04","Spring",1,10,10,0,6,5,2,3,4,3,48
"231","TBM1999040203","1999","04","Spring",1,10,10,0,10,5,3,2,3,3,51
"232","TBM1999041302","1999","04","Spring",1,10,10,0,2,5,5,6,6,3,52
"233","TBM1999041309","1999","04","Spring",1,10,10,0,10,0,0,1,0,0,34
"234","TBM1999041316","1999","04","Spring",1,10,10,0,8,10,5,8,9,10,78
"235","TBM1999041415","1999","04","Spring",1,10,10,0,3,0,3,4,3,5,42
"236","TBM1999041418","1999","04","Spring",1,10,10,0,9,5,5,8,8,8,70
"237","TBM1999050404","1999","05","Spring",1,10,10,4,10,10,0,9,10,7,78
"238","TBM1999050407","1999","05","Spring",1,10,10,0,9,0,4,5,4,3,50
"239","TBM1999050408","1999","05","Spring",1,10,10,0,7,5,5,4,4,2,52
"240","TBM1999051402","1999","05","Spring",1,10,10,7,9,5,1,7,7,8,71
"241","TBM1999051403","1999","05","Spring",1,10,10,2,9,5,3,6,6,3,60
"242","TBM1999051405","1999","05","Spring",1,10,10,0,9,10,2,4,4,2,57
"243","TBM1999052001","1999","05","Spring",1,10,10,0,9,0,1,5,4,0,43
"244","TBM1999052002","1999","05","Spring",1,10,10,1,7,5,6,10,10,10,77
"245","TBM2000041303","2000","04","Spring",1,10,10,0,0,0,8,0,1,0,32
"246","TBM2000041307","2000","04","Spring",1,10,10,0,4,5,1,3,3,0,40
"247","TBM2000041311","2000","04","Spring",1,10,10,0,1,5,3,1,1,2,37
"248","TBM2000041313","2000","04","Spring",1,10,10,0,5,5,5,3,4,3,50
"249","TBM2000041905","2000","04","Spring",1,10,10,5,8,5,3,4,3,2,56
"250","TBM2000051005","2000","05","Spring",1,10,10,0,10,5,6,7,6,2,62
"251","TBM2000051206","2000","05","Spring",1,10,10,9,8,10,1,8,9,10,83
"252","TBM2000051207","2000","05","Spring",1,10,10,0,10,0,3,4,3,3,48
"253","TBM2000051208","2000","05","Spring",1,10,10,0,10,5,2,5,4,3,54
"254","TBM2000051501","2000","05","Spring",1,10,10,0,10,10,1,8,9,7,72
"255","TBM2000051505","2000","05","Spring",1,10,10,0,9,5,0,8,8,2,58
"256","TBM2000051701","2000","05","Spring",1,10,10,0,6,5,4,2,3,3,48
"257","TBM2000051702","2000","05","Spring",1,10,10,0,3,5,6,1,3,2,44
"258","TBM2001040203","2001","04","Spring",1,10,10,0,10,5,4,10,9,10,76
"259","TBM2001040204","2001","04","Spring",1,10,10,0,8,5,8,5,5,5,62
"260","TBM2001040205","2001","04","Spring",1,10,10,0,8,5,6,5,6,8,64
"261","TBM2001040206","2001","04","Spring",1,10,10,0,7,10,5,6,6,10,71
"262","TBM2001040304","2001","04","Spring",1,10,10,0,1,5,1,4,4,2,41
"263","TBM2001041204","2001","04","Spring",1,10,10,0,10,5,5,8,6,3,63
"264","TBM2001051301","2001","05","Spring",1,10,10,0,2,10,3,5,8,5,59
"265","TBM2001051303","2001","05","Spring",1,10,10,0,5,0,4,3,4,3,43
"266","TBM2001051304","2001","05","Spring",1,10,10,0,10,5,10,3,3,3,60
"267","TBM2001051305","2001","05","Spring",1,10,10,0,10,5,10,6,6,10,74
"268","TBM2002040701","2002","04","Spring",1,10,10,0,6,5,7,5,6,7,62
"269","TBM2002040702","2002","04","Spring",1,10,10,0,7,0,3,3,3,2,42
"270","TBM2002040705","2002","04","Spring",1,10,10,0,9,5,2,2,2,2,47
"271","TBM2002041202","2002","04","Spring",1,10,10,2,9,10,0,8,10,7,73
"272","TBM2002041207","2002","04","Spring",1,10,10,0,9,5,0,6,6,0,51
"273","TBM2002051002","2002","05","Spring",1,10,10,0,7,5,2,3,4,5,51
"274","TBM2002051003","2002","05","Spring",1,10,10,0,7,10,8,5,6,7,70
"275","TBM2002051005","2002","05","Spring",1,10,10,0,9,0,9,2,2,2,49
"276","TBM2002051006","2002","05","Spring",1,10,10,0,9,5,1,2,3,2,47
"277","TBM2003041001","2003","04","Spring",1,10,10,0,6,5,4,8,9,7,66
"278","TBM2003041004","2003","04","Spring",1,10,10,0,5,5,3,4,4,5,51
"279","TBM2003041005","2003","04","Spring",1,10,10,0,10,5,2,5,4,5,57
"280","TBM2003041006","2003","04","Spring",1,10,10,0,10,0,0,1,0,0,34
"281","TBM2003041202","2003","04","Spring",1,10,10,0,1,5,9,2,3,5,50
"282","TBM2003041205","2003","04","Spring",1,10,10,0,8,5,10,2,3,5,59
"283","TBM2003041207","2003","04","Spring",1,10,10,0,0,5,4,0,1,0,33
"284","TBM2003050301","2003","05","Spring",1,10,10,0,8,10,10,1,3,3,61
"285","TBM2003050801","2003","05","Spring",1,10,10,0,5,5,0,1,2,0,37
"286","TBM2003050802","2003","05","Spring",1,10,10,0,4,0,7,2,2,2,41
"287","TBM2003050804","2003","05","Spring",1,10,10,0,9,0,0,2,3,0,38
"288","TBM2003050807","2003","05","Spring",1,10,10,0,9,5,3,4,3,2,51
"289","TBM2004040401","2004","04","Spring",1,10,10,0,10,5,2,3,3,3,51
"290","TBM2004040402","2004","04","Spring",1,10,10,0,4,5,4,5,6,7,57
"291","TBM2004040403","2004","04","Spring",1,10,10,0,5,5,5,10,10,10,72
"292","TBM2004040406","2004","04","Spring",1,10,10,0,4,5,4,2,3,2,44
"293","TBM2004041403","2004","04","Spring",1,10,10,0,3,5,4,1,3,2,42
"294","TBM2004041406","2004","04","Spring",1,10,10,0,7,5,1,4,3,2,47
"295","TBM2004050504","2004","05","Spring",1,10,10,0,9,5,6,5,4,7,62
"296","TBM2004050505","2004","05","Spring",1,10,10,0,9,0,5,7,7,3,57
"297","TBM2004050506","2004","05","Spring",1,10,10,0,3,5,1,3,3,0,39
"298","TBM2004050507","2004","05","Spring",1,10,10,0,7,5,4,5,4,5,56
"299","TBM2004050802","2004","05","Spring",1,10,10,7,9,10,1,7,8,7,77
"300","TBM2004050803","2004","05","Spring",1,10,10,0,9,5,3,3,3,2,50
"301","TBM2005040203","2005","04","Spring",1,10,10,0,10,0,0,2,2,0,38
"302","TBM2005040204","2005","04","Spring",1,10,10,0,8,5,9,1,1,2,51
"303","TBM2005040206","2005","04","Spring",1,10,10,0,3,5,7,2,3,3,48
"304","TBM2005040503","2005","04","Spring",1,10,10,0,8,5,3,2,1,2,46
"305","TBM2005040504","2005","04","Spring",1,10,10,0,5,5,2,1,1,0,38
"306","TBM2005040505","2005","04","Spring",1,10,10,0,0,5,8,1,1,3,42
"307","TBM2005040507","2005","04","Spring",1,10,10,0,8,5,8,2,3,5,57
"308","TBM2005050305","2005","05","Spring",1,10,10,0,0,5,2,1,1,3,36
"309","TBM2005050306","2005","05","Spring",1,10,10,0,9,0,1,4,4,3,46
"310","TBM2005050401","2005","05","Spring",1,10,10,0,8,5,3,3,3,0,47
"311","TBM2005050402","2005","05","Spring",1,10,10,0,7,10,5,2,3,2,54
"312","TBM2005050404","2005","05","Spring",1,10,10,0,8,10,8,3,4,5,64
"313","TBM2005050407","2005","05","Spring",1,10,10,0,6,5,0,2,3,2,42
"314","TBM2006040707","2006","04","Spring",1,10,10,0,3,5,9,1,2,5,50
"315","TBM2006041101","2006","04","Spring",1,10,10,0,0,0,8,0,0,0,31
"316","TBM2006041102","2006","04","Spring",1,10,10,0,9,5,4,3,3,2,51
"317","TBM2006041106","2006","04","Spring",1,10,10,0,3,0,6,0,1,2,36
"318","TBM2006041107","2006","04","Spring",1,10,10,0,7,5,2,2,2,3,46
"319","TBM2006050301","2006","05","Spring",1,10,10,0,1,0,1,1,1,0,27
"320","TBM2006050302","2006","05","Spring",1,10,10,0,4,5,8,5,5,5,58
"321","TBM2006050303","2006","05","Spring",1,10,10,0,0,0,10,0,0,0,33
"322","TBM2006050305","2006","05","Spring",1,10,10,0,9,0,0,1,1,0,34
"323","TBM2006050403","2006","05","Spring",1,10,10,0,9,5,4,5,5,5,59
"324","TBM2007040102","2007","04","Spring",1,10,10,0,2,10,0,5,6,2,50
"325","TBM2007040103","2007","04","Spring",1,10,10,0,0,5,1,3,4,5,42
"326","TBM2007040104","2007","04","Spring",1,10,10,0,4,5,5,5,6,8,59
"327","TBM2007041001","2007","04","Spring",1,10,10,0,6,5,2,2,4,3,47
