"","Reference","year","month","Season","BAY_SEGMENT","LRScore","PropESScore","PropFacScore","PropMSScore","PropSelectScore","PropTSScore","ESTaxaScore","SelecTaxaScore","Cumul_Score"
"100","TBM2007050401","2007","05","Spring",1,0,7,3,4,6,3,2,2,34
"101","TBM2007050404","2007","05","Spring",1,1,6,1,4,6,6,10,10,55
"102","TBM2007050405","2007","05","Spring",1,0,10,0,0,2,8,6,6,40
"103","TBM2007050406","2007","05","Spring",1,0,7,0,3,8,3,2,6,36
"104","TBM2008040901","2008","04","Spring",1,10,6,0,4,0,4,9,4,46
"105","TBM2008040905","2008","04","Spring",1,0,3,5,7,0,9,2,0,33
"106","TBM2008040908","2008","04","Spring",1,1,4,3,6,3,3,4,6,38
"107","TBM2008050301","2008","05","Spring",1,1,4,6,6,2,7,6,6,48
"108","TBM2008050305","2008","05","Spring",1,0,5,2,5,2,10,1,2,34
"109","TBM2008050401","2008","05","Spring",1,0,0,0,10,0,10,0,0,25
"110","TBM2008050404","2008","05","Spring",1,1,5,3,5,1,9,8,4,45
"111","TBM2008050406","2008","05","Spring",1,3,4,0,6,1,4,7,2,34
"112","TBM2009040101","2009","04","Spring",1,1,2,8,8,1,8,1,2,39
"113","TBM2009040105","2009","04","Spring",1,0,9,0,1,2,8,6,4,38
"114","TBM2009040806","2009","04","Spring",1,3,2,3,8,0,5,4,2,34
"115","TBM2009040807","2009","04","Spring",1,0,5,4,5,0,10,1,0,31
"116","TBM2009050402","2009","05","Spring",1,0,1,10,9,0,10,2,0,40
"117","TBM2009050404","2009","05","Spring",1,1,9,0,1,2,10,7,10,50
"118","TBM2009050406","2009","05","Spring",1,0,3,3,7,3,8,2,7,41
"119","TBM2009050408","2009","05","Spring",1,0,3,2,7,1,8,2,2,31
"120","TBM2009050409","2009","05","Spring",1,0,9,0,1,0,10,3,0,29
"121","TBM2009050410","2009","05","Spring",1,0,4,3,6,2,7,2,2,33
"122","TBM2010040203","2010","04","Spring",1,10,0,0,10,9,7,4,6,58
"123","TBM2010040204","2010","04","Spring",1,0,0,0,10,10,10,4,2,45
"124","TBM2010040207","2010","04","Spring",1,0,2,0,8,9,10,5,8,53
"125","TBM2010041106","2010","04","Spring",1,10,3,1,7,3,0,4,4,40
"126","TBM2010041107","2010","04","Spring",1,10,1,1,9,1,0,4,4,38
"127","TBM2010050503","2010","05","Spring",1,10,0,0,10,10,9,5,8,65
"128","TBM2010050507","2010","05","Spring",1,0,9,1,1,10,0,1,4,33
"129","TBM2010051007","2010","05","Spring",1,0,10,0,0,0,10,4,0,30
"130","TBM2011040401","2011","04","Spring",1,0,0,0,10,10,10,2,8,50
"131","TBM2011040404","2011","04","Spring",1,0,7,1,3,8,3,4,6,40
"132","TBM2011040405","2011","04","Spring",1,5,4,2,6,3,4,3,6,41
"133","TBM2011040706","2011","04","Spring",1,0,5,7,5,8,5,2,5,46
"134","TBM2011041205","2011","04","Spring",1,0,0,0,0,0,0,0,0,0
"135","TBM2011051305","2011","05","Spring",1,0,3,8,7,1,9,2,2,40
"136","TBM2011051306","2011","05","Spring",1,0,9,0,1,2,10,10,10,53
"137","TBM2011051307","2011","05","Spring",1,1,10,0,0,2,8,8,10,49
"138","TBM2012040401","2012","04","Spring",1,0,0,10,10,9,10,0,4,54
"139","TBM2012040403","2012","04","Spring",1,0,8,0,2,4,6,8,6,43
"140","TBM2012040406","2012","04","Spring",1,0,0,5,10,2,10,0,2,36
"141","TBM2012040407","2012","04","Spring",1,0,0,4,10,4,6,0,2,33
"142","TBM2012050304","2012","05","Spring",1,0,7,2,3,4,10,2,4,40
"143","TBM2012050305","2012","05","Spring",1,0,0,0,10,0,10,0,0,25
"144","TBM2012050307","2012","05","Spring",1,0,5,5,5,2,10,3,4,43
"145","TBM2013041001","2013","04","Spring",1,0,5,3,5,4,5,3,2,34
"146","TBM2013041003","2013","04","Spring",1,3,2,1,8,2,0,2,2,25
"147","TBM2013041006","2013","04","Spring",1,6,2,0,8,1,5,6,4,40
"148","TBM2013041108","2013","04","Spring",1,0,4,6,6,5,8,2,4,44
"149","TBM2013050502","2013","05","Spring",1,0,5,3,5,7,5,3,9,46
"150","TBM2013050504","2013","05","Spring",1,0,9,1,1,3,8,6,4,40
"151","TBM2013050506","2013","05","Spring",1,0,0,10,10,6,10,0,4,50
"152","TBM2014040102","2014","04","Spring",1,0,2,1,8,10,7,1,6,44
"153","TBM2014040106","2014","04","Spring",1,0,1,6,9,4,7,1,6,43
"154","TBM2014040108","2014","04","Spring",1,0,1,10,9,4,9,1,2,45
"155","TBM2014040905","2014","04","Spring",1,5,4,0,6,4,0,5,4,35
"156","TBM2014050906","2014","05","Spring",1,1,10,0,0,4,5,7,8,44
"157","TBM2014050907","2014","05","Spring",1,3,7,1,3,3,4,10,10,51
"158","TBM2014050909","2014","05","Spring",1,0,2,10,8,7,10,1,2,50
"159","TBM2015041002","2015","04","Spring",1,1,2,5,8,5,6,6,6,49
"160","TBM2015041008","2015","04","Spring",1,0,10,0,0,4,6,2,2,30
"161","TBM2015041009","2015","04","Spring",1,0,10,0,0,0,10,2,0,28
"162","TBM2015051202","2015","05","Spring",1,0,2,9,8,6,8,1,4,48
"163","TBM2015051205","2015","05","Spring",1,0,10,0,0,1,10,4,4,36
"164","TBM2015051207","2015","05","Spring",1,1,6,2,4,2,5,10,6,45
"165","TBM2005060301","2005","06","Summer",1,0,1,10,9,0,10,0,0,38
"166","TBM2005060303","2005","06","Summer",1,0,10,0,0,10,0,0,2,28
"167","TBM2005060304","2005","06","Summer",1,1,9,0,2,3,5,1,4,31
"168","TBM2005070202","2005","07","Summer",1,0,8,1,2,1,9,5,2,35
"169","TBM2005070206","2005","07","Summer",1,10,8,0,2,1,7,10,5,54
"170","TBM2005070208","2005","07","Summer",1,0,6,1,4,3,8,8,4,43
"171","TBM2005070901","2005","07","Summer",1,1,4,3,6,1,8,10,7,50
"172","TBM2005080503","2005","08","Summer",1,0,5,4,5,3,10,9,7,54
"173","TBM2005080504","2005","08","Summer",1,0,6,3,4,3,10,6,7,49
"174","TBM2005080505","2005","08","Summer",1,0,0,0,10,10,10,6,5,51
"175","TBM2005080701","2005","08","Summer",1,0,0,9,10,3,10,1,2,44
"176","TBM2005090604","2005","09","Summer",1,1,8,2,2,6,2,4,9,43
"177","TBM2005090901","2005","09","Summer",1,0,2,7,8,4,10,0,2,41
"178","TBM2005090902","2005","09","Summer",1,0,10,0,0,1,10,5,9,44
"179","TBM2005090904","2005","09","Summer",1,0,0,10,10,0,10,0,0,38
"180","TBM2006060503","2006","06","Summer",1,0,2,3,9,2,9,1,3,36
"181","TBM2006060504","2006","06","Summer",1,0,7,1,3,4,4,3,2,30
"182","TBM2006060505","2006","06","Summer",1,0,6,1,3,3,4,7,2,33
"183","TBM2006071101","2006","07","Summer",1,0,4,4,6,0,5,2,0,26
"184","TBM2006071107","2006","07","Summer",1,0,0,2,10,8,8,0,7,44
"185","TBM2006071108","2006","07","Summer",1,0,2,1,8,8,8,10,9,58
"186","TBM2006080402","2006","08","Summer",1,0,7,1,3,1,8,4,2,33
"187","TBM2006080403","2006","08","Summer",1,0,3,3,7,1,8,3,2,34
"188","TBM2006080404","2006","08","Summer",1,0,3,4,7,1,10,3,4,40
"189","TBM2006080405","2006","08","Summer",1,0,1,10,9,0,10,0,4,43
"190","TBM2006091101","2006","09","Summer",1,0,1,8,9,1,8,0,2,36
"191","TBM2006091102","2006","09","Summer",1,0,9,1,1,1,10,0,2,30
"192","TBM2006091104","2006","09","Summer",1,0,0,0,10,10,8,0,7,44
"193","TBM2007060601","2007","06","Summer",1,0,3,4,7,2,7,5,4,40
"194","TBM2007060602","2007","06","Summer",1,0,9,1,2,8,0,6,4,38
"195","TBM2007060604","2007","06","Summer",1,0,4,5,6,2,7,5,4,41
"196","TBM2007060605","2007","06","Summer",1,10,5,0,5,1,2,9,6,48
"197","TBM2007060606","2007","06","Summer",1,0,1,10,10,7,10,1,2,51
"198","TBM2007070902","2007","07","Summer",1,10,6,0,4,5,0,4,4,41
"199","TBM2007070903","2007","07","Summer",1,0,2,1,8,7,9,9,10,58
"200","TBM2007070904","2007","07","Summer",1,0,0,0,10,10,10,1,5,45
"201","TBM2007080404","2007","08","Summer",1,0,6,6,5,3,10,8,2,50
"202","TBM2007080803","2007","08","Summer",1,0,5,6,5,5,10,0,2,41
"203","TBM2007080805","2007","08","Summer",1,0,6,1,4,2,9,5,4,39
"204","TBM2007080806","2007","08","Summer",1,0,3,5,7,2,8,3,4,40
"205","TBM2007090702","2007","09","Summer",1,3,1,5,9,4,4,1,4,39
"206","TBM2007090704","2007","09","Summer",1,0,5,1,5,5,6,7,7,45
"207","TBM2007090708","2007","09","Summer",1,0,2,9,8,1,9,5,4,48
"208","TBM2007090709","2007","09","Summer",1,0,2,5,8,1,8,1,2,34
"209","TBM2008061202","2008","06","Summer",1,0,4,8,6,0,5,2,2,34
"210","TBM2008061203","2008","06","Summer",1,0,6,4,4,1,3,1,2,26
"211","TBM2008061204","2008","06","Summer",1,0,2,0,8,8,10,5,9,53
"212","TBM2008071401","2008","07","Summer",1,6,1,1,9,0,1,0,2,25
"213","TBM2008071403","2008","07","Summer",1,0,10,0,1,1,10,5,2,36
"214","TBM2008071404","2008","07","Summer",1,1,8,1,2,1,8,4,4,36
"215","TBM2008071407","2008","07","Summer",1,0,5,1,5,4,5,5,6,39
"216","TBM2008081502","2008","08","Summer",1,1,1,0,9,10,10,5,9,56
"217","TBM2008081504","2008","08","Summer",1,0,2,7,8,0,10,0,0,34
"218","TBM2008081507","2008","08","Summer",1,10,0,1,10,0,0,1,0,28
"219","TBM2008090104","2008","09","Summer",1,0,2,4,8,5,7,2,4,40
"220","TBM2008090105","2008","09","Summer",1,0,2,0,8,7,9,1,5,40
"221","TBM2008090106","2008","09","Summer",1,3,0,0,10,10,9,5,10,59
"222","TBM2009060604","2009","06","Summer",1,3,3,1,8,1,5,5,2,35
"223","TBM2009061003","2009","06","Summer",1,1,5,1,6,2,8,4,2,36
"224","TBM2009061005","2009","06","Summer",1,0,4,8,7,4,10,0,2,44
"225","TBM2009061008","2009","06","Summer",1,0,4,4,6,2,9,3,4,40
"226","TBM2009071301","2009","07","Summer",1,0,1,9,9,0,9,0,0,35
"227","TBM2009071302","2009","07","Summer",1,0,1,6,9,1,9,1,4,39
"228","TBM2009071303","2009","07","Summer",1,0,1,3,9,6,9,7,7,53
"229","TBM2009071304","2009","07","Summer",1,6,4,2,6,5,5,10,10,60
"230","TBM2009080403","2009","08","Summer",1,0,10,0,0,0,10,1,0,26
"231","TBM2009080404","2009","08","Summer",1,0,2,0,9,9,10,8,5,54
"232","TBM2009081401","2009","08","Summer",1,0,3,4,7,4,10,5,5,48
"233","TBM2009091002","2009","09","Summer",1,10,3,3,7,0,5,5,0,41
"234","TBM2009091005","2009","09","Summer",1,0,2,0,8,6,8,1,4,36
"235","TBM2009091008","2009","09","Summer",1,0,2,0,9,8,8,2,6,44
"236","TBM2010060102","2010","06","Summer",1,0,2,9,9,1,10,1,5,46
"237","TBM2010060103","2010","06","Summer",1,0,1,2,9,8,10,1,4,44
"238","TBM2010060106","2010","06","Summer",1,0,0,0,10,10,10,2,6,48
"239","TBM2010060107","2010","06","Summer",1,0,7,2,3,5,7,5,6,44
"240","TBM2010070301","2010","07","Summer",1,0,4,8,7,0,5,0,0,30
"241","TBM2010070304","2010","07","Summer",1,0,2,1,8,8,10,4,9,53
"242","TBM2010070306","2010","07","Summer",1,0,3,7,6,1,10,2,2,39
"243","TBM2010080904","2010","08","Summer",1,0,0,0,0,0,0,0,0,0
"244","TBM2010080905","2010","08","Summer",1,0,1,0,9,9,10,4,9,53
"245","TBM2010080907","2010","08","Summer",1,0,2,5,8,2,7,0,2,33
"246","TBM2010081002","2010","08","Summer",1,0,0,1,9,7,9,1,3,38
"247","TBM2010090401","2010","09","Summer",1,0,7,1,3,4,5,4,5,36
"248","TBM2010090402","2010","09","Summer",1,1,2,2,9,7,8,7,9,56
"249","TBM2010090404","2010","09","Summer",1,0,2,9,8,1,9,3,4,45
"250","TBM2010091202","2010","09","Summer",1,0,3,7,7,1,10,3,2,41
"251","TBM2011061102","2011","06","Summer",1,0,1,0,9,9,9,4,9,51
"252","TBM2011061105","2011","06","Summer",1,0,6,1,5,6,6,3,10,46
"253","TBM2011061107","2011","06","Summer",1,0,0,2,10,7,9,0,7,44
"254","TBM2011070805","2011","07","Summer",1,0,3,0,7,8,3,0,6,34
"255","TBM2011070808","2011","07","Summer",1,0,3,0,7,4,3,3,4,30
"256","TBM2011070809","2011","07","Summer",1,1,3,6,7,4,4,2,4,39
"257","TBM2011081407","2011","08","Summer",1,0,3,8,7,0,10,0,0,35
"258","TBM2011081408","2011","08","Summer",1,6,2,3,8,0,3,5,2,36
"259","TBM2011081409","2011","08","Summer",1,0,3,0,7,7,9,3,8,46
"260","TBM2011090601","2011","09","Summer",1,0,2,1,8,10,3,2,9,44
"261","TBM2011090602","2011","09","Summer",1,0,1,0,10,10,9,1,7,48
"262","TBM2011090604","2011","09","Summer",1,0,0,10,10,0,10,0,6,45
"263","TBM2011091401","2011","09","Summer",1,10,6,0,4,1,4,4,8,46
"264","TBM2011091406","2011","09","Summer",1,0,0,10,10,10,10,0,2,53
"265","TBM2012060106","2012","06","Summer",1,0,4,4,7,4,10,0,2,39
"266","TBM2012060107","2012","06","Summer",1,0,8,1,2,1,8,7,4,39
"267","TBM2012060108","2012","06","Summer",1,0,7,2,3,5,8,4,5,43
"268","TBM2012060806","2012","06","Summer",1,0,5,3,5,3,8,4,4,40
"269","TBM2012070606","2012","07","Summer",1,0,0,10,10,2,10,0,2,43
"270","TBM2012071103","2012","07","Summer",1,0,0,0,10,10,10,7,5,53
"271","TBM2012071107","2012","07","Summer",1,0,9,1,1,8,0,1,4,30
"272","TBM2012071108","2012","07","Summer",1,4,4,0,6,4,1,3,4,33
"273","TBM2012081403","2012","08","Summer",1,0,3,8,7,6,10,0,4,48
"274","TBM2012081408","2012","08","Summer",1,0,2,1,8,8,8,2,7,45
"275","TBM2012081409","2012","08","Summer",1,0,5,2,5,4,8,8,10,53
"276","TBM2012090304","2012","09","Summer",1,0,0,4,10,4,10,0,2,38
"277","TBM2012090306","2012","09","Summer",1,0,6,1,4,1,10,1,2,31
"278","TBM2012090307","2012","09","Summer",1,1,10,0,0,0,10,4,9,43
"279","TBM2013060602","2013","06","Summer",1,0,5,2,5,3,8,6,9,48
"280","TBM2013060604","2013","06","Summer",1,0,0,4,10,4,5,0,2,31
"281","TBM2013060605","2013","06","Summer",1,0,10,0,1,4,5,10,10,50
"282","TBM2013060606","2013","06","Summer",1,1,8,0,3,6,5,10,10,54
"283","TBM2013070305","2013","07","Summer",1,0,7,3,4,3,1,3,8,36
"284","TBM2013071302","2013","07","Summer",1,0,8,1,2,1,9,9,5,44
"285","TBM2013071303","2013","07","Summer",1,0,6,2,4,3,10,1,4,38
"286","TBM2013071305","2013","07","Summer",1,0,10,0,0,8,0,5,4,34
"287","TBM2013081203","2013","08","Summer",1,0,4,4,6,3,9,4,5,44
"288","TBM2013081206","2013","08","Summer",1,0,5,5,5,5,10,4,6,50
"289","TBM2013081207","2013","08","Summer",1,1,4,1,6,7,6,4,8,46
"290","TBM2013090901","2013","09","Summer",1,0,10,0,0,0,10,4,2,33
"291","TBM2013090902","2013","09","Summer",1,0,8,2,2,1,9,1,2,31
"292","TBM2013090904","2013","09","Summer",1,0,10,0,0,0,10,3,0,29
"293","TBM2014060202","2014","06","Summer",1,0,4,4,7,0,5,0,0,25
"294","TBM2014060206","2014","06","Summer",1,3,10,0,0,0,9,8,5,44
"295","TBM2014060207","2014","06","Summer",1,0,4,6,6,3,7,5,4,44
"296","TBM2014071104","2014","07","Summer",1,0,7,0,3,4,9,3,10,45
"297","TBM2014071107","2014","07","Summer",1,7,5,0,5,3,4,6,4,43
"298","TBM2014071108","2014","07","Summer",1,0,3,3,7,1,8,5,4,39
"299","TBM2014080706","2014","08","Summer",1,0,3,0,7,7,9,5,7,48
"300","TBM2014080707","2014","08","Summer",1,0,4,7,7,1,7,2,2,38
"301","TBM2014080708","2014","08","Summer",1,0,2,7,8,2,7,2,6,43
"302","TBM2014090504","2014","09","Summer",1,0,9,0,1,2,9,9,10,50
"303","TBM2014090507","2014","09","Summer",1,0,8,2,2,2,10,1,2,34
"304","TBM2014090508","2014","09","Summer",1,10,1,0,9,0,0,3,0,29
"305","TBM2014091405","2014","09","Summer",1,0,5,6,6,2,10,3,4,45
"306","TBM2015060402","2015","06","Summer",1,0,0,10,10,0,10,0,0,38
"307","TBM2015060406","2015","06","Summer",1,10,4,1,6,1,3,10,10,56
"308","TBM2015060409","2015","06","Summer",1,0,4,8,6,1,7,1,2,36
"309","TBM2015061104","2015","06","Summer",1,2,8,0,2,1,6,10,5,43
"310","TBM2015070603","2015","07","Summer",1,6,10,0,1,1,8,10,5,51
"311","TBM2015070606","2015","07","Summer",1,0,6,4,4,1,10,3,5,41
"312","TBM2015070608","2015","07","Summer",1,0,10,0,0,1,9,7,9,45
"313","TBM2015081105","2015","08","Summer",1,0,5,2,5,4,9,4,5,43
"314","TBM2015081106","2015","08","Summer",1,0,7,0,3,4,10,8,7,49
"315","TBM2015081109","2015","08","Summer",1,0,6,5,4,2,8,6,4,44
"316","TBM2015090802","2015","09","Summer",1,0,1,2,9,7,9,1,5,43
"317","TBM2015090803","2015","09","Summer",1,0,9,0,1,1,9,5,5,38
"318","TBM2015090807","2015","09","Summer",1,1,6,4,4,3,7,10,8,54
"319","TBM2005010804","2005","01","Winter",1,0,1,0,9,2,9,2,3,33
"320","TBM2005011105","2005","01","Winter",1,1,3,0,7,9,3,3,8,43
"321","TBM2005011106","2005","01","Winter",1,0,8,3,2,2,8,8,6,46
"322","TBM2005011108","2005","01","Winter",1,0,9,0,2,6,6,5,8,45
"323","TBM2005020701","2005","02","Winter",1,0,9,2,1,2,9,5,3,39
"324","TBM2005020702","2005","02","Winter",1,0,7,0,3,4,7,6,5,40
"325","TBM2005020705","2005","02","Winter",1,0,6,1,4,10,5,8,10,55
"326","TBM2005030401","2005","03","Winter",1,0,4,2,6,6,7,9,10,55
"327","TBM2005030404","2005","03","Winter",1,2,9,0,1,10,1,8,2,41
"328","TBM2005030405","2005","03","Winter",1,0,9,1,2,10,2,3,5,40
"329","TBM2005030408","2005","03","Winter",1,0,4,0,7,10,0,1,5,34
"330","TBM2005121001","2005","12","Winter",1,0,5,6,5,4,9,6,5,50
"331","TBM2005121007","2005","12","Winter",1,0,4,1,6,6,10,9,8,55
"332","TBM2005121008","2005","12","Winter",1,0,9,1,1,0,10,9,3,41
"333","TBM2005121009","2005","12","Winter",1,0,7,5,3,5,6,3,3,40
"334","TBM2006011101","2006","01","Winter",1,0,6,2,4,5,6,8,5,45
"335","TBM2006011102","2006","01","Winter",1,0,10,0,0,5,6,8,3,40
"336","TBM2006011103","2006","01","Winter",1,0,9,0,1,1,9,7,5,40
"337","TBM2006011108","2006","01","Winter",1,0,10,0,0,0,10,3,0,29
"338","TBM2006020303","2006","02","Winter",1,2,10,0,0,1,9,10,8,50
"339","TBM2006020801","2006","02","Winter",1,0,8,1,2,6,5,9,5,45
"340","TBM2006020805","2006","02","Winter",1,0,10,0,0,4,7,6,3,38
"341","TBM2006020806","2006","02","Winter",1,0,8,3,2,6,6,3,3,39
"342","TBM2006030305","2006","03","Winter",1,1,6,1,4,3,6,3,3,34
"343","TBM2006030306","2006","03","Winter",1,0,8,2,2,5,6,6,3,40
"344","TBM2006030307","2006","03","Winter",1,1,8,2,2,1,8,8,3,41
"345","TBM2006120603","2006","12","Winter",1,0,4,6,7,2,9,4,2,43
