"","Reference","year","month","Season","BAY_SEGMENT","NumIndivScore","TGAbundScore","BenthicTaxaScore","ESAbundScore","NumGuildsScore","NumTaxaScore","LRScore","SelecIndivScore","SelecTaxaScore","ShannonScore","Cumul_Score"
"55","TBM2001111304","2001","11","Fall",1,10,10,0,0,3,1,0,0,0,1,25
"56","TBM2001111305","2001","11","Fall",1,10,10,2,1,7,3,0,0,3,4,40
"57","TBM2002100104","2002","10","Fall",1,10,10,2,0,10,4,3,0,5,3,47
"58","TBM2002100105","2002","10","Fall",1,10,10,2,0,7,3,3,0,0,6,41
"59","TBM2002100106","2002","10","Fall",1,10,10,2,0,10,3,0,0,3,4,42
"60","TBM2002100201","2002","10","Fall",1,10,10,10,10,10,10,7,1,8,4,80
"61","TBM2002100203","2002","10","Fall",1,10,10,5,1,10,5,0,1,5,5,52
"62","TBM2002100205","2002","10","Fall",1,10,10,4,0,7,3,0,2,5,4,45
"63","TBM2002100504","2002","10","Fall",1,10,10,1,0,3,1,0,0,3,3,31
"64","TBM2002110601","2002","11","Fall",1,10,10,8,1,7,7,0,5,8,9,65
"65","TBM2002110608","2002","11","Fall",1,10,10,7,0,7,6,0,6,5,8,59
"66","TBM2002111401","2002","11","Fall",1,10,10,8,0,10,8,0,2,8,9,65
"67","TBM2002111402","2002","11","Fall",1,10,10,2,1,10,3,0,1,5,2,44
"68","TBM2002111409","2002","11","Fall",1,10,10,1,0,7,1,0,0,0,1,30
"69","TBM2002111602","2002","11","Fall",1,10,10,3,1,7,4,0,0,3,6,44
"70","TBM2002111604","2002","11","Fall",1,10,10,8,3,10,9,0,7,8,4,69
"71","TBM2003100403","2003","10","Fall",1,10,10,5,1,7,5,0,0,5,6,49
"72","TBM2003100408","2003","10","Fall",1,10,10,10,1,10,9,0,1,10,6,67
"73","TBM2003100602","2003","10","Fall",1,10,10,5,1,10,5,0,4,5,5,55
"74","TBM2003100603","2003","10","Fall",1,10,10,4,0,10,4,0,0,5,6,49
"75","TBM2003100604","2003","10","Fall",1,10,10,2,0,7,4,0,5,5,6,49
"76","TBM2003100706","2003","10","Fall",1,10,10,6,1,10,7,0,1,8,6,59
"77","TBM2003101705","2003","10","Fall",1,10,10,2,0,7,3,0,1,8,6,47
"78","TBM2003111001","2003","11","Fall",1,10,10,0,0,0,0,0,0,0,0,20
"79","TBM2003111301","2003","11","Fall",1,10,10,10,10,10,10,0,1,5,0,66
"80","TBM2003111303","2003","11","Fall",1,0,0,0,0,0,0,0,0,0,0,0
"81","TBM2003111708","2003","11","Fall",1,10,10,6,0,7,5,0,1,5,3,47
"82","TBM2003111801","2003","11","Fall",1,10,10,1,0,7,1,0,0,3,5,37
"83","TBM2003111803","2003","11","Fall",1,10,10,1,0,3,1,0,0,3,3,31
"84","TBM2003111805","2003","11","Fall",1,10,10,5,0,10,5,0,1,8,7,56
"85","TBM2004100102","2004","10","Fall",1,10,10,4,0,10,4,0,3,8,7,56
"86","TBM2004100105","2004","10","Fall",1,10,10,2,0,3,1,0,0,0,5,31
"87","TBM2004100106","2004","10","Fall",1,10,10,10,1,10,9,0,6,10,9,75
"88","TBM2004101101","2004","10","Fall",1,10,10,5,3,10,5,0,8,8,3,62
"89","TBM2004101105","2004","10","Fall",1,10,10,1,0,7,1,0,0,5,4,38
"90","TBM2004101106","2004","10","Fall",1,10,10,8,0,10,8,0,10,8,8,72
"91","TBM2004110902","2004","11","Fall",1,10,10,10,0,7,9,0,5,10,10,71
"92","TBM2004110905","2004","11","Fall",1,10,10,9,0,10,8,0,3,8,10,68
"93","TBM2004111101","2004","11","Fall",1,10,10,2,0,3,2,0,0,0,3,30
"94","TBM2004111202","2004","11","Fall",1,10,10,1,0,10,3,0,0,0,3,37
"95","TBM2004111203","2004","11","Fall",1,10,10,8,0,10,7,0,4,8,10,67
"96","TBM2004111206","2004","11","Fall",1,10,10,8,1,7,7,0,1,5,8,57
"97","TBM2004111207","2004","11","Fall",1,10,10,2,0,7,2,0,0,5,5,41
"98","TBM2005100501","2005","10","Fall",1,10,10,2,0,7,3,0,0,0,7,39
"99","TBM2005100503","2005","10","Fall",1,10,10,5,5,10,5,0,0,0,6,51
"100","TBM2005100506","2005","10","Fall",1,10,10,4,10,10,7,0,0,3,0,54
"101","TBM2005100507","2005","10","Fall",1,0,0,0,0,0,0,0,0,0,0,0
"102","TBM2005100508","2005","10","Fall",1,10,10,4,0,10,4,0,0,5,7,50
"103","TBM2005100601","2005","10","Fall",1,10,10,7,9,10,9,0,2,10,1,68
"104","TBM2005100606","2005","10","Fall",1,10,10,3,0,3,3,0,0,0,5,34
"105","TBM2005100703","2005","10","Fall",1,10,10,1,1,3,1,0,0,0,1,27
"106","TBM2005100704","2005","10","Fall",1,10,10,2,1,10,3,0,0,3,1,40
"107","TBM2005100705","2005","10","Fall",1,10,10,3,0,3,3,0,0,3,3,35
"108","TBM2005100707","2005","10","Fall",1,0,0,0,0,0,0,0,0,0,0,0
"109","TBM2005110202","2005","11","Fall",1,10,10,4,0,7,3,0,0,3,9,46
"110","TBM2005110203","2005","11","Fall",1,10,10,10,1,10,10,0,1,5,10,67
"111","TBM2005110504","2005","11","Fall",1,10,10,10,1,7,9,0,0,5,6,58
"112","TBM2005111201","2005","11","Fall",1,10,10,5,0,7,5,0,0,3,4,44
"113","TBM2005111202","2005","11","Fall",1,10,10,4,0,7,5,0,0,3,5,44
"114","TBM2005111203","2005","11","Fall",1,10,10,6,1,3,5,0,0,0,6,41
"115","TBM2005111204","2005","11","Fall",1,10,10,3,5,7,3,0,0,0,4,42
"116","TBM2005111205","2005","11","Fall",1,10,10,1,0,7,1,0,0,3,5,37
"117","TBM2006100101","2006","10","Fall",1,10,10,7,0,7,6,0,2,5,6,53
"118","TBM2006100102","2006","10","Fall",1,10,10,7,1,10,9,0,1,5,10,63
"119","TBM2006100103","2006","10","Fall",1,10,10,4,0,7,4,0,0,3,7,45
"120","TBM2006100106","2006","10","Fall",1,10,10,9,1,10,10,0,3,5,10,68
"121","TBM2006100108","2006","10","Fall",1,10,10,5,3,3,4,0,0,3,1,39
"122","TBM2006100902","2006","10","Fall",1,10,10,5,10,10,5,0,5,10,1,66
"123","TBM2006100904","2006","10","Fall",1,10,10,3,0,7,5,0,0,0,7,42
"124","TBM2006101105","2006","10","Fall",1,10,10,2,0,7,4,0,0,0,3,36
"125","TBM2006101201","2006","10","Fall",1,10,10,0,0,0,0,0,0,0,0,20
"126","TBM2006110202","2006","11","Fall",1,10,10,9,1,10,9,0,4,8,9,70
"127","TBM2006110206","2006","11","Fall",1,10,10,8,0,10,8,0,4,8,10,68
"128","TBM2006110207","2006","11","Fall",1,10,10,2,0,3,2,0,0,0,4,31
"129","TBM2006110602","2006","11","Fall",1,10,10,9,0,7,8,0,2,5,10,61
"130","TBM2006110606","2006","11","Fall",1,10,10,2,0,10,3,0,0,0,5,40
"131","TBM2006110607","2006","11","Fall",1,10,10,5,0,7,5,0,1,5,9,52
"132","TBM2006110608","2006","11","Fall",1,10,10,1,1,10,2,0,0,3,0,37
"133","TBM2006110701","2006","11","Fall",1,10,10,4,0,10,3,0,0,3,4,44
"134","TBM2006110702","2006","11","Fall",1,10,10,8,0,7,7,0,0,3,9,54
"135","TBM2006110703","2006","11","Fall",1,10,10,10,0,7,9,0,0,5,10,61
"136","TBM2007100603","2007","10","Fall",1,10,10,6,1,7,6,0,10,5,5,60
"137","TBM2007100902","2007","10","Fall",1,10,10,5,2,10,5,0,1,5,8,56
"138","TBM2007100904","2007","10","Fall",1,10,10,3,0,7,3,0,0,5,8,46
"139","TBM2007100907","2007","10","Fall",1,10,10,6,10,10,8,0,4,10,1,69
"140","TBM2007100908","2007","10","Fall",1,10,10,2,0,7,3,0,0,0,3,35
"141","TBM2007101104","2007","10","Fall",1,10,10,2,2,7,3,0,0,0,5,39
"142","TBM2007101105","2007","10","Fall",1,10,10,4,0,3,3,7,0,0,7,44
"143","TBM2007101106","2007","10","Fall",1,10,10,0,0,0,0,0,0,0,0,20
"144","TBM2007110701","2007","11","Fall",1,10,10,0,10,3,1,0,0,0,0,34
"145","TBM2007110702","2007","11","Fall",1,10,10,0,0,0,0,0,0,0,0,20
"146","TBM2007110704","2007","11","Fall",1,10,10,6,1,10,7,0,2,10,6,62
"147","TBM2007110706","2007","11","Fall",1,10,10,8,0,10,8,0,5,10,9,70
"148","TBM2007111104","2007","11","Fall",1,10,10,2,0,3,1,0,0,0,5,31
"149","TBM2007111105","2007","11","Fall",1,10,10,1,0,0,1,0,0,0,3,25
"150","TBM2007111106","2007","11","Fall",1,10,10,5,0,3,4,0,0,3,5,40
"151","TBM2007111107","2007","11","Fall",1,10,10,8,2,10,7,0,4,8,8,67
"152","TBM2008100301","2008","10","Fall",1,10,10,2,4,7,3,0,0,3,0,39
"153","TBM2008100304","2008","10","Fall",1,10,10,5,0,10,6,0,10,10,10,71
"154","TBM2008100305","2008","10","Fall",1,10,10,2,0,7,3,3,0,0,4,39
"155","TBM2008100705","2008","10","Fall",1,10,10,8,0,7,8,10,2,8,10,73
"156","TBM2008100707","2008","10","Fall",1,10,10,3,0,10,4,3,0,0,5,45
"157","TBM2008100802","2008","10","Fall",1,10,10,5,0,10,5,0,1,8,6,55
"158","TBM2008100803","2008","10","Fall",1,10,10,8,2,10,9,0,5,10,8,72
"159","TBM2008100805","2008","10","Fall",1,10,10,8,2,10,10,0,5,10,7,72
"160","TBM2008100806","2008","10","Fall",1,10,10,4,1,10,6,0,1,8,8,58
"161","TBM2008110103","2008","11","Fall",1,10,10,5,1,7,6,0,0,3,7,49
"162","TBM2008110104","2008","11","Fall",1,10,10,6,0,10,6,0,2,5,9,58
"163","TBM2008110106","2008","11","Fall",1,10,10,2,0,0,1,0,0,0,5,28
"164","TBM2008110107","2008","11","Fall",1,10,10,2,0,7,2,0,2,5,5,43
"165","TBM2008110401","2008","11","Fall",1,10,10,1,0,0,1,0,0,0,3,25
"166","TBM2008110402","2008","11","Fall",1,10,10,5,0,10,6,10,0,3,5,59
"167","TBM2008111203","2008","11","Fall",1,10,10,2,1,3,3,0,0,0,2,31
"168","TBM2008111204","2008","11","Fall",1,10,10,2,0,3,1,0,0,3,5,34
"169","TBM2008111206","2008","11","Fall",1,0,0,0,0,0,0,0,0,0,0,0
"170","TBM2008111303","2008","11","Fall",1,10,10,1,0,3,1,0,0,0,1,26
"171","TBM2008111305","2008","11","Fall",1,10,10,2,0,7,1,0,0,0,5,35
"172","TBM2009100101","2009","10","Fall",1,10,10,7,0,7,7,0,10,10,8,69
"173","TBM2009100104","2009","10","Fall",1,10,10,2,0,7,2,0,0,5,3,39
"174","TBM2009100306","2009","10","Fall",1,10,10,6,1,10,7,10,0,0,6,60
"175","TBM2009101101","2009","10","Fall",1,10,10,5,0,10,5,7,1,5,5,58
"176","TBM2009101103","2009","10","Fall",1,10,10,10,6,10,10,3,10,10,7,86
"177","TBM2009101105","2009","10","Fall",1,10,10,1,1,7,3,0,0,3,4,39
"178","TBM2009101106","2009","10","Fall",1,10,10,4,5,10,4,3,0,0,3,49
"179","TBM2009101108","2009","10","Fall",1,10,10,7,1,10,8,0,0,3,8,57
"180","TBM2009110801","2009","11","Fall",1,10,10,8,0,7,7,0,1,8,9,60
"181","TBM2009110802","2009","11","Fall",1,0,0,0,0,0,0,0,0,0,0,0
"182","TBM2009110805","2009","11","Fall",1,10,10,5,0,10,5,0,5,8,7,60
"183","TBM2009110806","2009","11","Fall",1,10,10,6,1,7,6,0,0,0,4,44
"184","TBM2009111005","2009","11","Fall",1,10,10,7,0,7,8,0,1,5,9,57
"185","TBM2009111006","2009","11","Fall",1,10,10,4,1,7,5,0,5,3,7,52
"186","TBM2009111101","2009","11","Fall",1,0,0,0,0,0,0,0,0,0,0,0
"187","TBM2009111102","2009","11","Fall",1,10,10,7,0,10,7,0,4,8,7,63
"188","TBM2009111105","2009","11","Fall",1,10,10,5,0,7,4,3,0,3,4,46
"189","TBM2009111106","2009","11","Fall",1,10,10,0,0,7,1,0,0,0,2,30
"190","TBM2009111108","2009","11","Fall",1,10,10,8,1,10,7,0,1,5,3,55
"191","TBM2009111401","2009","11","Fall",1,10,10,2,0,7,3,0,0,3,8,43
"192","TBM2010100101","2010","10","Fall",1,10,10,4,0,7,3,0,0,3,8,45
"193","TBM2010100102","2010","10","Fall",1,0,0,0,0,0,0,0,0,0,0,0
"194","TBM2010100105","2010","10","Fall",1,10,10,7,0,10,9,10,2,8,10,76
"195","TBM2010100106","2010","10","Fall",1,10,10,6,2,10,9,0,4,8,3,62
"196","TBM2010100107","2010","10","Fall",1,10,10,7,10,10,7,10,3,10,1,78
"197","TBM2010100109","2010","10","Fall",1,10,10,4,0,10,6,0,0,5,8,53
"198","TBM2010100604","2010","10","Fall",1,10,10,9,8,10,9,10,6,10,1,83
"199","TBM2010100605","2010","10","Fall",1,10,10,10,3,10,10,10,8,10,9,90
"200","TBM2010100904","2010","10","Fall",1,0,0,0,0,0,0,0,0,0,0,0
"201","TBM2010100905","2010","10","Fall",1,10,10,0,0,0,0,0,0,0,0,20
"202","TBM2010110202","2010","11","Fall",1,10,10,1,0,3,1,0,0,0,4,29
"203","TBM2010110204","2010","11","Fall",1,0,0,0,0,0,0,0,0,0,0,0
"204","TBM2010110702","2010","11","Fall",1,10,10,9,0,7,8,3,5,10,10,72
"205","TBM2010110704","2010","11","Fall",1,10,10,5,2,10,7,3,2,8,2,59
"206","TBM2010111401","2010","11","Fall",1,10,10,0,0,0,0,7,0,0,0,27
"207","TBM2010111402","2010","11","Fall",1,10,10,4,0,3,3,0,0,0,4,34
"208","TBM2010111404","2010","11","Fall",1,10,10,4,0,3,3,0,0,5,8,43
"209","TBM2010111405","2010","11","Fall",1,10,10,2,0,3,2,0,0,3,5,35
"210","TBM2010111406","2010","11","Fall",1,10,10,8,0,10,7,0,6,5,9,65
"211","TBM2011100103","2011","10","Fall",1,10,10,6,2,10,6,10,0,3,1,58
"212","TBM2011100105","2011","10","Fall",1,10,10,2,10,7,4,0,0,3,1,47
"213","TBM2011100106","2011","10","Fall",1,10,10,8,2,10,7,0,10,5,6,68
"214","TBM2011100107","2011","10","Fall",1,10,10,8,1,10,9,0,3,8,9,68
"215","TBM2011100108","2011","10","Fall",1,10,10,9,3,10,10,0,1,5,6,64
"216","TBM2011100806","2011","10","Fall",1,10,10,1,0,3,1,10,0,0,3,38
"217","TBM2011100807","2011","10","Fall",1,10,10,8,3,10,7,3,1,10,2,64
"218","TBM2011101003","2011","10","Fall",1,10,10,5,0,10,7,0,3,10,9,64
"219","TBM2011101006","2011","10","Fall",1,10,10,5,0,10,5,0,3,5,6,54
"220","TBM2011101101","2011","10","Fall",1,10,10,1,1,7,1,0,0,3,1,34
"221","TBM2011110306","2011","11","Fall",1,10,10,6,1,7,6,0,0,3,3,46
"222","TBM2011110307","2011","11","Fall",1,10,10,5,0,7,4,3,1,5,5,50
"223","TBM2011110703","2011","11","Fall",1,10,10,5,7,7,4,0,0,0,5,48
"224","TBM2011110704","2011","11","Fall",1,10,10,4,0,7,4,0,0,0,8,43
"225","TBM2011111001","2011","11","Fall",1,10,10,3,0,10,3,3,0,3,7,49
"226","TBM2011111002","2011","11","Fall",1,10,10,5,2,7,5,0,0,5,6,50
"227","TBM2011111003","2011","11","Fall",1,10,10,5,0,10,6,0,6,5,7,59
"228","TBM2011111005","2011","11","Fall",1,10,10,5,0,10,5,0,1,10,10,61
"229","TBM2011111007","2011","11","Fall",1,10,10,7,0,10,7,0,1,8,8,61
"230","TBM2011111009","2011","11","Fall",1,10,10,8,1,10,8,0,7,5,8,67
"231","TBM2012100201","2012","10","Fall",1,10,10,3,3,7,4,0,0,3,2,42
"232","TBM2012100401","2012","10","Fall",1,10,10,6,1,10,7,0,0,0,7,51
"233","TBM2012101201","2012","10","Fall",1,10,10,5,1,10,5,3,1,5,7,57
"234","TBM2012101401","2012","10","Fall",1,10,10,7,0,10,7,0,1,8,6,59
"235","TBM2012101403","2012","10","Fall",1,10,10,7,0,10,7,0,2,8,7,61
"236","TBM2012101603","2012","10","Fall",1,10,10,5,1,10,7,7,0,5,9,64
"237","TBM2012101604","2012","10","Fall",1,10,10,1,0,7,1,0,0,0,4,33
"238","TBM2012101606","2012","10","Fall",1,10,10,10,10,10,10,3,10,10,2,85
"239","TBM2012101607","2012","10","Fall",1,10,10,7,2,10,7,0,2,8,4,60
"240","TBM2012110403","2012","11","Fall",1,10,10,5,0,7,4,10,1,5,7,59
"241","TBM2012110404","2012","11","Fall",1,10,10,1,0,3,1,0,0,3,2,30
"242","TBM2012110406","2012","11","Fall",1,10,10,7,1,7,7,0,0,5,7,54
"243","TBM2012110407","2012","11","Fall",1,10,10,8,3,10,8,0,2,5,5,61
"244","TBM2012110409","2012","11","Fall",1,10,10,3,0,7,3,0,0,0,6,39
"245","TBM2012110601","2012","11","Fall",1,10,10,2,1,3,3,0,0,0,7,36
"246","TBM2012110603","2012","11","Fall",1,10,10,7,2,10,8,0,0,0,4,51
"247","TBM2012110604","2012","11","Fall",1,10,10,8,0,10,7,0,2,8,10,65
"248","TBM2012110606","2012","11","Fall",1,10,10,2,0,3,1,0,0,0,5,31
"249","TBM2012111101","2012","11","Fall",1,10,10,6,0,10,7,0,0,5,7,55
"250","TBM2012111102","2012","11","Fall",1,10,10,2,0,3,1,0,0,3,5,34
"251","TBM2012111103","2012","11","Fall",1,10,10,5,0,7,5,0,0,5,6,48
"252","TBM2013100404","2013","10","Fall",1,10,10,4,1,10,4,0,1,5,3,48
"253","TBM2013100405","2013","10","Fall",1,10,10,4,9,10,7,0,0,5,1,56
"254","TBM2013100406","2013","10","Fall",1,10,10,1,0,3,1,0,0,0,1,26
"255","TBM2013100407","2013","10","Fall",1,10,10,2,1,7,3,0,0,0,3,36
"256","TBM2013100408","2013","10","Fall",1,10,10,4,10,10,5,10,2,8,0,69
"257","TBM2013100409","2013","10","Fall",1,10,10,0,0,0,0,0,0,0,0,20
"258","TBM2013101204","2013","10","Fall",1,10,10,0,0,3,1,0,0,0,3,27
"259","TBM2013101205","2013","10","Fall",1,10,10,2,0,7,3,0,0,3,6,41
"260","TBM2013110601","2013","11","Fall",1,10,10,7,0,7,6,0,1,8,9,58
"261","TBM2013110602","2013","11","Fall",1,10,10,2,0,3,2,3,0,3,7,40
"262","TBM2013110605","2013","11","Fall",1,10,10,8,0,10,8,0,3,5,9,63
"263","TBM2013110606","2013","11","Fall",1,10,10,4,1,7,4,0,0,3,1,40
"264","TBM2013110608","2013","11","Fall",1,10,10,2,0,7,3,0,1,3,5,41
"265","TBM2013110609","2013","11","Fall",1,10,10,1,0,3,1,0,0,0,5,30
"266","TBM2013110704","2013","11","Fall",1,10,10,10,0,10,9,0,9,8,10,76
"267","TBM2014100402","2014","10","Fall",1,10,10,8,6,10,9,0,1,5,3,62
"268","TBM2014100403","2014","10","Fall",1,10,10,10,8,10,10,0,2,10,1,71
"269","TBM2014100407","2014","10","Fall",1,10,10,8,5,10,10,0,3,10,2,68
"270","TBM2014100408","2014","10","Fall",1,10,10,2,2,10,4,0,0,3,1,42
"271","TBM2014100704","2014","10","Fall",1,10,10,5,0,10,6,10,0,8,8,67
"272","TBM2014100708","2014","10","Fall",1,10,10,6,1,10,6,0,5,5,8,61
"273","TBM2014101103","2014","10","Fall",1,10,10,2,0,3,1,0,0,0,4,30
"274","TBM2014101105","2014","10","Fall",1,10,10,8,0,7,7,0,2,8,6,58
"275","TBM2014101106","2014","10","Fall",1,10,10,7,1,10,7,0,1,5,7,58
"276","TBM2014110701","2014","11","Fall",1,10,10,2,0,3,1,0,0,0,5,31
"277","TBM2014110702","2014","11","Fall",1,10,10,5,0,7,5,3,0,3,9,52
"278","TBM2014110704","2014","11","Fall",1,0,0,0,0,0,0,0,0,0,0,0
"279","TBM2014111201","2014","11","Fall",1,10,10,4,0,3,3,0,4,3,5,42
"280","TBM2014111202","2014","11","Fall",1,10,10,5,1,7,5,0,1,3,7,49
"281","TBM2014111203","2014","11","Fall",1,10,10,8,5,7,8,0,4,8,4,64
"282","TBM2014111205","2014","11","Fall",1,10,10,1,0,0,1,0,0,0,3,25
"283","TBM2014111207","2014","11","Fall",1,10,10,5,0,10,5,0,1,5,6,52
"284","TBM2014111303","2014","11","Fall",1,10,10,2,0,3,2,0,0,0,4,31
"285","TBM2014111304","2014","11","Fall",1,10,10,3,6,7,4,0,10,3,1,54
"286","TBM2015100201","2015","10","Fall",1,10,10,0,0,7,2,0,0,0,4,33
"287","TBM2015100202","2015","10","Fall",1,10,10,2,0,3,3,0,0,0,7,35
"288","TBM2015100204","2015","10","Fall",1,10,10,9,8,10,10,3,5,10,4,79
"289","TBM2015100205","2015","10","Fall",1,10,10,9,10,10,10,0,8,10,2,79
"290","TBM2015100207","2015","10","Fall",1,10,10,6,1,10,7,10,2,5,5,66
"291","TBM2015100901","2015","10","Fall",1,10,10,6,3,10,7,0,1,5,5,57
"292","TBM2015100903","2015","10","Fall",1,10,10,4,4,10,6,0,0,3,3,50
"293","TBM2015110507","2015","11","Fall",1,10,10,0,0,0,0,0,0,0,0,20
"294","TBM2015110701","2015","11","Fall",1,10,10,7,0,7,6,0,6,8,7,61
"295","TBM2015110702","2015","11","Fall",1,10,10,9,2,10,9,3,6,8,5,72
"296","TBM2015110704","2015","11","Fall",1,10,10,10,3,10,10,7,10,10,7,87
"297","TBM2015110705","2015","11","Fall",1,10,10,6,2,10,7,0,0,5,3,53
"298","TBM2015110708","2015","11","Fall",1,10,10,7,0,3,6,0,2,3,8,49
"299","TBM2015110709","2015","11","Fall",1,10,10,4,2,7,5,0,0,0,6,44
"300","TBM2015111102","2015","11","Fall",1,10,10,7,1,10,7,0,0,5,8,58
"301","TBM2015111105","2015","11","Fall",1,10,10,5,0,10,5,0,2,5,9,56
"302","TBM2015111108","2015","11","Fall",1,10,10,6,0,7,5,0,10,8,5,61
"303","TBM1998041501","1998","04","Spring",1,10,10,3,0,3,2,0,0,0,5,33
"304","TBM1998041503","1998","04","Spring",1,10,10,4,0,0,3,0,0,0,8,35
"305","TBM1998041508","1998","04","Spring",1,10,10,0,0,0,1,0,0,0,1,22
"306","TBM1998041513","1998","04","Spring",1,10,10,4,0,7,3,0,0,7,8,49
"307","TBM1998041603","1998","04","Spring",1,0,0,0,0,0,0,0,0,0,0,0
"308","TBM1998041605","1998","04","Spring",1,0,0,0,0,0,0,0,0,0,0,0
"309","TBM1998041609","1998","04","Spring",1,10,10,9,1,7,8,1,9,10,10,75
"310","TBM1998051202","1998","05","Spring",1,10,10,6,0,7,5,0,0,3,10,51
"311","TBM1998051205","1998","05","Spring",1,10,10,3,0,3,2,0,0,3,6,37
"312","TBM1998051206","1998","05","Spring",1,10,10,5,0,7,4,0,1,10,7,54
